DATE,RGDPMPUKA_PC1
1701-01-01,8.97250
1702-01-01,-2.57636
1703-01-01,-6.41585
1704-01-01,19.05224
1705-01-01,-5.08157
1706-01-01,-15.32182
1707-01-01,12.35031
1708-01-01,6.44025
1709-01-01,-13.36558
1710-01-01,-9.08022
1711-01-01,9.02823
1712-01-01,-0.08893
1713-01-01,-4.29235
1714-01-01,10.00310
1715-01-01,-2.80883
1716-01-01,3.77924
1717-01-01,5.64403
1718-01-01,5.64225
1719-01-01,-1.76083
1720-01-01,6.37954
1721-01-01,-3.90482
1722-01-01,1.07196
1723-01-01,-2.40072
1724-01-01,-1.00244
1725-01-01,2.61232
1726-01-01,-3.09313
1727-01-01,-0.59901
1728-01-01,3.04752
1729-01-01,-5.55556
1730-01-01,2.29102
1731-01-01,-1.59114
1732-01-01,6.64323
1733-01-01,2.21655
1734-01-01,-0.36276
1735-01-01,-2.37055
1736-01-01,7.43350
1737-01-01,-5.35329
1738-01-01,1.86634
1739-01-01,-0.67205
1740-01-01,-1.67539
1741-01-01,2.91636
1742-01-01,2.30041
1743-01-01,-2.34983
1744-01-01,-1.39442
1745-01-01,1.47071
1746-01-01,3.13769
1747-01-01,4.56335
1748-01-01,-1.07074
1749-01-01,-0.59715
1750-01-01,1.44928
1751-01-01,-2.16136
1752-01-01,4.92510
1753-01-01,0.88687
1754-01-01,-2.80160
1755-01-01,3.02941
1756-01-01,-1.69141
1757-01-01,5.75681
1758-01-01,1.39347
1759-01-01,1.58419
1760-01-01,2.90570
1761-01-01,3.97643
1762-01-01,-2.77795
1763-01-01,-0.33314
1764-01-01,-0.03857
1765-01-01,-0.81024
1766-01-01,1.33549
1767-01-01,0.68454
1768-01-01,0.92134
1769-01-01,5.65384
1770-01-01,-2.73524
1771-01-01,1.86864
1772-01-01,-2.55007
1773-01-01,1.77745
1774-01-01,-2.21939
1775-01-01,3.19380
1776-01-01,3.23918
1777-01-01,2.89307
1778-01-01,-0.70152
1779-01-01,-0.27347
1780-01-01,4.57038
1781-01-01,2.85184
1782-01-01,-0.99862
1783-01-01,-0.51508
1784-01-01,0.39370
1785-01-01,-0.69836
1786-01-01,1.75277
1787-01-01,-1.66410
1788-01-01,-0.23248
1789-01-01,2.23812
1790-01-01,7.59037
1791-01-01,0.42861
1792-01-01,4.01766
1793-01-01,-1.62234
1794-01-01,-3.23586
1795-01-01,10.86450
1796-01-01,1.79194
1797-01-01,-0.72435
1798-01-01,0.95958
1799-01-01,2.62801
1800-01-01,4.87815
1801-01-01,0.89526
1802-01-01,1.16157
1803-01-01,-2.09313
1804-01-01,-0.08959
1805-01-01,6.06481
1806-01-01,-0.38812
1807-01-01,6.53499
1808-01-01,-4.66034
1809-01-01,3.14102
1810-01-01,6.44425
1811-01-01,-1.03439
1812-01-01,-4.11787
1813-01-01,5.43221
1814-01-01,-2.21308
1815-01-01,10.67930
1816-01-01,-5.23659
1817-01-01,1.67903
1818-01-01,-0.09948
1819-01-01,-1.63967
1820-01-01,8.12243
1821-01-01,1.70407
1822-01-01,1.93329
1823-01-01,2.94729
1824-01-01,5.48310
1825-01-01,2.25666
1826-01-01,-5.34092
1827-01-01,7.70443
1828-01-01,0.30581
1829-01-01,0.84836
1830-01-01,4.48212
1831-01-01,3.04944
1832-01-01,0.54447
1833-01-01,1.11948
1834-01-01,3.46293
1835-01-01,6.06272
1836-01-01,2.63486
1837-01-01,-0.85290
1838-01-01,4.84096
1839-01-01,2.16821
1840-01-01,0.44974
1841-01-01,-2.73830
1842-01-01,-0.87133
1843-01-01,3.47866
1844-01-01,7.38455
1845-01-01,4.72193
1846-01-01,4.79762
1847-01-01,-1.35827
1848-01-01,2.94178
1849-01-01,1.48996
1850-01-01,-1.22891
1851-01-01,4.55760
1852-01-01,3.17536
1853-01-01,3.52040
1854-01-01,3.73566
1855-01-01,-0.69630
1856-01-01,4.80373
1857-01-01,0.71198
1858-01-01,-0.31221
1859-01-01,4.02870
1860-01-01,2.23077
1861-01-01,1.83571
1862-01-01,-1.00131
1863-01-01,5.12669
1864-01-01,1.27792
1865-01-01,4.75713
1866-01-01,1.29449
1867-01-01,0.67314
1868-01-01,3.88062
1869-01-01,2.24357
1870-01-01,7.82185
1871-01-01,5.71719
1872-01-01,0.44483
1873-01-01,0.66242
1874-01-01,4.15265
1875-01-01,1.01785
1876-01-01,0.41902
1877-01-01,0.94915
1878-01-01,-0.12825
1879-01-01,-1.68416
1880-01-01,7.11947
1881-01-01,2.74931
1882-01-01,1.66703
1883-01-01,2.95997
1884-01-01,-1.15439
1885-01-01,-1.07255
1886-01-01,0.30081
1887-01-01,4.28388
1888-01-01,3.49453
1889-01-01,3.23181
1890-01-01,0.97578
1891-01-01,3.12398
1892-01-01,-2.60995
1893-01-01,-0.97601
1894-01-01,4.86116
1895-01-01,3.28913
1896-01-01,4.01900
1897-01-01,1.39530
1898-01-01,4.79190
1899-01-01,3.71969
1900-01-01,-0.03261
1901-01-01,2.24054
1902-01-01,1.50717
1903-01-01,-1.16182
1904-01-01,1.27033
1905-01-01,3.31599
1906-01-01,2.45184
1907-01-01,2.42437
1908-01-01,-4.04285
1909-01-01,2.34910
1910-01-01,2.83465
1911-01-01,3.49274
1912-01-01,1.78203
1913-01-01,4.44232
1914-01-01,2.03994
1915-01-01,5.52402
1916-01-01,1.15950
1917-01-01,-0.54009
1918-01-01,1.94063
1919-01-01,-7.81495
1920-01-01,-5.79261
1921-01-01,-9.71098
1922-01-01,5.30921
1923-01-01,2.96234
1924-01-01,4.71988
1925-01-01,3.51896
1926-01-01,-3.11985
1927-01-01,7.69031
1928-01-01,0.89296
1929-01-01,2.85315
1930-01-01,-0.79566
1931-01-01,-4.63918
1932-01-01,0.06854
1933-01-01,3.18014
1934-01-01,5.96677
1935-01-01,3.69817
1936-01-01,4.76847
1937-01-01,3.49971
1938-01-01,0.77614
1939-01-01,4.40053
1940-01-01,9.92280
1941-01-01,8.70742
1942-01-01,1.79297
1943-01-01,1.71812
1944-01-01,-4.40028
1945-01-01,-4.57297
1946-01-01,-2.45846
1947-01-01,-1.27625
1948-01-01,3.21547
1949-01-01,3.38099
1950-01-01,3.31119
1951-01-01,3.74680
1952-01-01,1.59275
1953-01-01,5.52586
1954-01-01,4.29686
1955-01-01,3.82296
1956-01-01,1.61850
1957-01-01,1.91408
1958-01-01,1.26643
1959-01-01,4.10782
1960-01-01,6.27910
1961-01-01,2.67582
1962-01-01,1.09501
1963-01-01,4.87789
1964-01-01,5.53800
1965-01-01,2.12887
1966-01-01,1.56549
1967-01-01,2.78166
1968-01-01,5.44912
1969-01-01,1.92166
1970-01-01,2.71650
1971-01-01,3.47934
1972-01-01,4.29447
1973-01-01,6.51607
1974-01-01,-2.47267
1975-01-01,-1.48834
1976-01-01,2.92178
1977-01-01,2.46321
1978-01-01,4.19528
1979-01-01,3.73550
1980-01-01,-2.04116
1981-01-01,-0.77893
1982-01-01,2.01567
1983-01-01,4.22057
1984-01-01,2.27457
1985-01-01,4.18731
1986-01-01,3.15325
1987-01-01,5.35948
1988-01-01,5.78740
1989-01-01,2.58290
1990-01-01,0.71688
1991-01-01,-1.11898
1992-01-01,0.35987
1993-01-01,2.50701
1994-01-01,3.88507
1995-01-01,2.50637
1996-01-01,2.54873
1997-01-01,3.12718
1998-01-01,3.19078
1999-01-01,3.28335
2000-01-01,3.74496
2001-01-01,2.72611
2002-01-01,2.39725
2003-01-01,3.46617
2004-01-01,2.52794
2005-01-01,2.97210
2006-01-01,2.50301
2007-01-01,2.55582
2008-01-01,-0.62721
2009-01-01,-4.32774
2010-01-01,1.91510
2011-01-01,1.50912
2012-01-01,1.31302
2013-01-01,1.91108
2014-01-01,3.07048
2015-01-01,2.19423
2016-01-01,1.80602
